2014-06-13 11:58:39,676 INFO  - C:\Users\bpmdev\workspace\RsToJson\text.txt 
2014-06-13 11:59:21,628 INFO  - C:\Users\bpmdev\workspace\RsToJson\logs\text.txt 
2014-06-13 11:59:59,849 INFO  - 100 
2014-06-13 12:26:14,388 INFO  -  
2014-06-13 12:26:34,304 INFO  -  
2014-06-13 12:27:44,820 INFO  -  
2014-06-13 12:27:44,841 INFO  -  
2014-06-13 12:28:29,432 INFO  -  
2014-06-13 12:29:34,035 INFO  - SELECT COLUMN_NAME,COLUMN_TEXT, DATA_TYPE, LENGTH FROM QSYS2.SYSCOLUMNS WHERE DBNAME='QS36F' AND TABLE_NAME='CMAST' 
2014-06-13 12:29:35,215 INFO  - com.ibm.db2.jcc.t4.j@2d9c1743 
2014-06-13 12:29:59,962 INFO  - SELECT COLUMN_NAME,COLUMN_TEXT, DATA_TYPE, LENGTH FROM QSYS2.SYSCOLUMNS WHERE DBNAME='QS36F' AND TABLE_NAME='CMAST' 
2014-06-13 12:30:00,209 INFO  - com.ibm.db2.jcc.t4.j@46ae41af 
2014-06-13 15:21:38,233 INFO  - SELECT COLUMN_NAME,COLUMN_TEXT, DATA_TYPE, LENGTH FROM QSYS2.SYSCOLUMNS WHERE DBNAME='QS36F' AND TABLE_NAME='CMAST' 
2014-06-13 15:21:38,718 INFO  - com.ibm.db2.jcc.t4.j@46ae41af 
2014-06-13 15:21:52,407 INFO  - SELECT COLUMN_NAME,COLUMN_TEXT, DATA_TYPE, LENGTH FROM QSYS2.SYSCOLUMNS WHERE DBNAME='QS36F' AND TABLE_NAME='CMAST' 
